Time,BDI,Period
2001-11-30,855.22727,1
2001-12-31,870.17647,1
2002-01-31,931.31818,1
2002-02-28,1365.3913,1
2002-03-31,1460.42857,1
2002-04-30,1665.94118,1
2002-05-31,959.55,1
2002-06-30,1064.75,1
2002-07-31,1077.42857,1
2002-08-31,1032.90909,1
2002-09-30,995.05556,1
2002-10-31,988.56522,1
2002-11-30,1001.7619,1
2002-12-31,1182.38095,1
2003-01-31,1693.86364,1
2003-02-28,4162.56522,1
2003-03-31,4250.4,1
2003-04-30,4609.0,1
2003-05-31,1673.7,1
2003-06-30,1849.7619,1
2003-07-31,2063.55,1
2003-08-31,2231.2,1
2003-09-30,2135.90476,1
2003-10-31,2191.91304,1
2003-11-30,2285.95,1
2003-12-31,2462.86364,1
2004-01-31,4539.42857,1
2004-02-29,5229.47619,1
2004-03-31,5308.90909,1
2004-04-30,5518.83333,1
2004-05-31,5450.05,1
2004-06-30,5131.17391,1
2004-07-31,4488.8,1
2004-08-31,3595.68421,1
2004-09-30,2901.59091,1
2004-10-31,3778.40909,1
2004-11-30,4169.0,1
2004-12-31,4140.77273,1
2005-01-31,4501.9,1
2005-02-28,3161.42857,1
2005-03-31,2915.5,1
2005-04-30,2600.0,1
2005-05-31,4532.25,1
2005-06-30,4677.90476,1
2005-07-31,4532.47619,1
2005-08-31,3667.4,1
2005-09-30,2746.09091,1
2005-10-31,2220.09524,1
2005-11-30,2202.77273,1
2005-12-31,2803.18182,1
2006-01-31,2261.7619,1
2006-02-28,4027.63636,1
2006-03-31,4190.09091,1
2006-04-30,4335.8125,1
2006-05-31,2443.7,1
2006-06-30,2598.82609,1
2006-07-31,2465.44444,1
2006-08-31,2441.85714,1
2006-09-30,2718.45455,1
2006-10-31,3049.80952,1
2006-11-30,3686.72727,1
2006-12-31,4039.14286,1
2007-01-31,4461.68182,1
2007-02-28,10425.91304,1
2007-03-31,10542.68182,1
2007-04-30,9854.125,1
2007-05-31,4397.75,1
2007-06-30,5123.13636,1
2007-07-31,5753.68421,1
2007-08-31,6402.2381,1
2007-09-30,5772.14286,1
2007-10-31,6572.13636,1
2007-11-30,7195.09091,1
2007-12-31,8585.9,1
2008-01-31,7169.81818,1
2008-02-29,1807.52174,1
2008-03-31,818.95,1
2008-04-30,743.0,1
2008-05-31,6874.2381,1
2008-06-30,8062.57895,1
2008-07-31,8286.86364,1
2008-08-31,10843.65,1
2008-09-30,10245.09524,1
2008-10-31,8935.73913,1
2008-11-30,7402.5,1
2008-12-31,4975.09091,1
2009-01-31,904.52381,1
2009-02-28,2745.68182,1
2009-03-31,3940.57143,1
2009-04-30,3572.38889,1
2009-05-31,1815.85,1
2009-06-30,1957.81818,1
2009-07-31,1659.15,1
2009-08-31,2539.84211,1
2009-09-30,3822.54545,1
2009-10-31,3361.86957,1
2009-11-30,2684.65,1
2009-12-31,2351.40909,1
2010-01-31,2693.33333,1
2010-02-28,3168.35,1
2010-03-31,2321.31818,1
2010-04-30,2030.94444,1
2010-05-31,2677.85,1
2010-06-30,3206.82609,1
2010-07-31,3043.1,1
2010-08-31,3838.05263,1
2010-09-30,3088.0,1
2010-10-31,1909.72727,1
2010-11-30,2432.33333,1
2010-12-31,2719.45455,1
2011-01-31,2072.47619,1
2011-02-28,1401.4,1
2011-03-31,1835.31818,1
2011-04-30,1868.82353,1
2011-05-31,1181.1,1
2011-06-30,1492.69565,1
2011-07-31,1342.55556,1
2011-08-31,1352.4,1
2011-09-30,1433.22727,1
2011-10-31,1365.52381,1
2011-11-30,1386.95455,1
2011-12-31,1840.40909,1
2012-01-31,1039.38095,1
2012-02-29,952.43478,2
2012-03-31,1024.63636,2
2012-04-30,855.6875,2
2012-05-31,702.61905,2
2012-06-30,858.95455,2
2012-07-31,1020.52632,2
2012-08-31,1101.27273,2
2012-09-30,937.42105,2
2012-10-31,1056.45455,2
2012-11-30,760.81818,2
2012-12-31,707.05,2
2013-01-31,770.59091,2
2013-02-28,1883.17391,2
2013-03-31,1558.85714,2
2013-04-30,2178.05882,2
2013-05-31,744.95,2
2013-06-30,876.1,2
2013-07-31,874.0,2
2013-08-31,851.38095,2
2013-09-30,940.5,2
2013-10-31,1123.13043,2
2013-11-30,1088.09524,2
2013-12-31,1680.52381,2
2014-01-31,1472.40909,2
2014-02-28,1100.95652,2
2014-03-31,1332.15,2
2014-04-30,909.61111,2
2014-05-31,1139.85,2
2014-06-30,1484.14286,2
2014-07-31,1045.35,2
2014-08-31,991.45,2
2014-09-30,912.0,2
2014-10-31,795.56522,2
2014-11-30,937.1,2
2014-12-31,1122.72727,2
2015-01-31,725.19048,2
2015-02-28,793.0,2
2015-03-31,582.2381,2
2015-04-30,519.16667,2
2015-05-31,539.4,2
2015-06-30,575.95455,2
2015-07-31,591.35,2
2015-08-31,597.0,2
2015-09-30,699.04545,2
2015-10-31,975.34783,2
2015-11-30,1065.55,2
2015-12-31,888.68182,2
2016-01-31,386.3,2
2016-02-29,868.47619,2
2016-03-31,1071.81818,2
2016-04-30,1049.52941,2
2016-05-31,306.90476,2
2016-06-30,383.33333,2
2016-07-31,607.47619,2
2016-08-31,619.9,2
2016-09-30,607.86364,2
2016-10-31,707.42857,2
2016-11-30,672.90909,2
2016-12-31,827.77273,2
2017-01-31,907.14286,2
2017-02-28,1484.22727,2
2017-03-31,1453.86364,2
2017-04-30,1618.6875,2
2017-05-31,759.45,2
2017-06-30,1141.3913,2
2017-07-31,1221.83333,2
2017-08-31,973.14286,2
2017-09-30,860.22727,2
2017-10-31,906.09524,2
2017-11-30,1141.77273,2
2017-12-31,1363.52381,2
2018-01-31,1242.0,2
2018-02-28,1544.69565,2
2018-03-31,1192.0,2
2018-04-30,1335.125,2
2018-05-31,1124.6,2
2018-06-30,1154.2381,2
2018-07-31,1128.9,2
2018-08-31,1293.09524,2
2018-09-30,1351.61905,2
2018-10-31,1649.77273,2
2018-11-30,1710.40909,2
2018-12-31,1447.35,2
2019-01-31,1063.31818,2
2019-02-28,1825.82609,2
2019-03-31,1419.28571,2
2019-04-30,1380.70588,2
2019-05-31,628.75,2
2019-06-30,680.42857,2
2019-07-31,773.25,2
2019-08-31,1035.66667,2
2019-09-30,1174.4,2
2019-10-31,1869.69565,2
2019-11-30,1982.2381,2
2019-12-31,2254.52381,2
2020-01-31,701.09091,2
2020-02-29,1630.77273,2
2020-03-31,1180.38095,2
2020-04-30,1243.66667,2
2020-05-31,460.6,2
2020-06-30,601.09091,2
2020-07-31,663.9,2
2020-08-31,489.10526,2
2020-09-30,1146.45455,2
2020-10-31,1632.82609,2
2020-11-30,1515.65,2
2020-12-31,1410.77273,2
2021-01-31,4819.95238,2
2021-02-28,1657.5,2
2021-03-31,2780.45455,2
2021-04-30,2832.11111,2
2021-05-31,1499.6,2
2021-06-30,2017.6087,2
2021-07-31,2475.05,2
2021-08-31,2965.26316,2
2021-09-30,2932.0,2
2021-10-31,3187.95455,2
2021-11-30,3720.0,2
2021-12-31,4287.77273,2
2022-01-31,1813.85714,2
2022-02-28,1760.8,2
2022-03-31,1298.95455,2
2022-04-30,1453.41176,2
2022-05-31,1834.9,2
2022-06-30,2464.08696,2
2022-07-31,2220.36842,2
2022-08-31,2943.04762,2
2022-09-30,2389.45,2
2022-10-31,2076.95238,2
2022-11-30,1411.95455,2
2022-12-31,1487.14286,2
